DEPARTMENT OF DEFENSE (DOD)	4.2409773116672266E13
DEPARTMENT OF ENERGY (DOE)	1.1648947719591916E13
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)	3.9436838770001885E12
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS)	8.170655232400004E11
GENERAL SERVICES ADMINISTRATION (GSA)	3.697255247963398E11
DEPARTMENT OF STATE (DOS)	3.107718641525896E11
DEPARTMENT OF HOMELAND SECURITY (DHS)	3.057643341797599E11
DEPARTMENT OF TRANSPORTATION (DOT)	2.5054639628378E11
DEPARTMENT OF VETERANS AFFAIRS (VA)	2.1447325032945065E11
DEPARTMENT OF JUSTICE (DOJ)	1.3089129199309996E11
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID)	1.1314297185991997E11
DEPARTMENT OF THE INTERIOR (DOI)	8.268343198636E10
DEPARTMENT OF COMMERCE (DOC)	8.239122252567998E10
DEPARTMENT OF EDUCATION (ED)	8.20914412007E10
ENVIRONMENTAL PROTECTION AGENCY (EPA)	5.979379613697997E10
DEPARTMENT OF LABOR (DOL)	5.392643065597998E10
DEPARTMENT OF THE TREASURY (TREAS)	4.573849840088995E10
DEPARTMENT OF AGRICULTURE (USDA)	3.2824419801879967E10
NATIONAL SCIENCE FOUNDATION (NSF)	1.9844744550999996E10
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD)	9.999414945159998E9
OFFICE OF PERSONNEL MANAGEMENT (OPM)	9.775183617520004E9
SOCIAL SECURITY ADMINISTRATION (SSA)	7.20829518404E9
PENSION BENEFIT GUARANTY CORPORATION (DOL)	5.179203863049998E9
SECURITIES AND EXCHANGE COMMISSION (SEC)	5.139275202679998E9
NUCLEAR REGULATORY COMMISSION (NRC)	4.74874006257E9
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA)	3.95047103543E9
FEDERAL COMMUNICATIONS COMMISSION (FCC)	2.5499719810799994E9
SMITHSONIAN INSTITUTION (SI)	1.61029989584E9
FEDERAL TRADE COMMISSION (FTC)	1.5925966954699996E9
RAILROAD RETIREMENT BOARD (RRB)	1.27421586461E9
MILLENIUM CHALLENGE CORPORATION (MCC)	1.1658586424000003E9
EXECUTIVE OFFICE OF THE PRESIDENT (EOP)	1.13949304689E9
BROADCASTING BOARD OF GOVERNORS (BBG)	8.8430326892E8
SMALL BUSINESS ADMINISTRATION (SBA)	8.119385349499999E8
CONSUMER FINANCIAL PROTECTION BUREAU (CFPB)	7.932506353100001E8
COMMODITY FUTURES TRADING COMMISSION (CFTC)	7.0837416577E8
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (CNCS)	5.770194993300002E8
COURT SERVICES AND OFFENDER SUPERVISION AGENCY (CSOSA)	4.575188856700001E8
GOVERNMENT ACCOUNTABILITY OFFICE (GAO)	3.7493660617999995E8
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION (EEOC)	3.3241144597E8
PEACE CORPS (EOP)	3.3224691504999995E8
NATIONAL GALLERY OF ART (SI)	3.151394292900001E8
EXPORT-IMPORT BANK OF THE UNITED STATES (EXIM)	2.846360191399999E8
OVERSEAS PRIVATE INVESTMENT CORPORATION (OPIC)	1.4674164589999998E8
NATIONAL LABOR RELATIONS BOARD (NLRB)	1.4313360710999998E8
CONSUMER PRODUCT SAFETY COMMISSION (CPSC)	1.2437668556000003E8
INTERNATIONAL TRADE COMMISSION (USITC)	1.009930669E8
FEDERAL ELECTION COMMISSION (FEC)	9.207830347E7
U.S. TRADE AND DEVELOPMENT AGENCY (EOP)	8.587167035999998E7
NATIONAL ENDOWMENT FOR THE ARTS (NEA)	3.928468659E7
INSTITUTE OF MUSEUM AND LIBRARY SERVICES (IMLS)	3.0423234509999998E7
NATIONAL TRANSPORTATION SAFETY BOARD (NTSB)	2.8456978129999995E7
COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED (ABILITYONE)	1.529406786E7
DEFENSE NUCLEAR FACILITIES SAFETY BOARD (DNFSB)	1.4847670189999998E7
FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION (FMSHRC)	1.37914472E7
FEDERAL MEDIATION AND CONCILIATION SERVICE (FMCS)	1.225778029E7
FEDERAL MARITIME COMMISSION (FMC)	1.1961813999999998E7
	1.087420809E7
UNITED STATES CHEMICAL SAFETY BOARD (CSB)	9671997.209999999
MERIT SYSTEMS PROTECTION BOARD (MSPB)	8522106.28
SELECTIVE SERVICE SYSTEM (SSS)	8251635.720000002
OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION (OSHRC)	5314169.67
FEDERAL LABOR RELATIONS AUTHORITY (FLRA)	3909918.7399999998
NATIONAL ENDOWMENT FOR THE HUMANITIES (NEH)	2144420.4699999997
THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY (CIGIE)	1376054.5899999999
ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS)	298906.0
ELECTION ASSISTANCE COMMISSION (EAC)	96162.0
LIBRARY OF CONGRESS (LOC)	0.0
